size,weight,fish_sel,prob_maturing,prop_rec,sel_ret,nat_m
27.5,7.66E-06,1.52E-07,0.006121559,0.155832,3.94E-14,3.00E-01
32.5,1.29E-05,4.14E-07,0.010636468,0.35026,3.74E-13,3.00E-01
37.5,2.00E-05,1.13E-06,0.018481315,0.26151,3.55E-12,3.00E-01
42.5,2.95E-05,3.09E-06,0.032062209,0.140803,3.37E-11,3.00E-01
47.5,4.17E-05,8.42E-06,0.05458478,0.0646232,3.20E-10,3.00E-01
52.5,5.68E-05,2.30E-05,0.087532771,0.0269728,3.04E-09,3.00E-01
57.5,7.53E-05,6.28E-05,0.127876195,0,2.88E-08,3.00E-01
62.5,9.75E-05,0.00017151,0.168796516,0,2.73E-07,3.00E-01
67.5,0.000123688,0.000468197,0.198728373,0,2.60E-06,3.00E-01
72.5,0.000154329,0.00127746,0.221444032,0,2.46E-05,3.00E-01
77.5,0.000189739,0.00348064,0.236577055,0,0.000233687,3.00E-01
82.5,0.000230279,0.00944778,0.234254444,0,0.00221337,3.00E-01
87.5,0.000276313,0.0253855,0.235831202,0,0.0206182,3.00E-01
92.5,0.000328208,0.0664145,0.278872575,0,0.166523,3.00E-01
97.5,0.000386333,0.162735,0.41198118,0,0.654709,3.00E-01
102.5,0.000451057,0.347071,0.715994801,0,0.947354,3.00E-01
107.5,0.000522754,0.5931,0.999999998,0,0.994178,3.00E-01
112.5,0.000601796,0.801052,1,0,0.999383,3.00E-01
117.5,0.000688561,0.919059,1,0,0.999935,3.00E-01
122.5,0.000783424,0.971469,1,0,0.999993,3.00E-01
127.5,0.000886766,0.992189,1,0,0.999999,3.00E-01
132.5,0.000998966,1,1,0,1,3.00E-01
